"","pathway","pval","padj","log2err","ES","NES","size"
"1","ABBUD_LIF_SIGNALING_1_DN",0.00974760538815254,0.0326285020467924,0.380730400722792,0.568224184550997,1.63278040321076,23
"2","ABBUD_LIF_SIGNALING_1_UP",0.00333981277452272,0.0138585400179103,0.431707695803346,0.507729242264652,1.66083010499673,40
"3","ABBUD_LIF_SIGNALING_2_DN",0.0181025868623792,0.0538355823583838,0.352487857583619,0.789910879491627,1.58531967995844,6
"4","ABBUD_LIF_SIGNALING_2_UP",0.322519083969466,0.511390073034914,0.101350743797099,0.452208531732464,1.11499704637516,13
"5","ABDELMOHSEN_ELAVL4_TARGETS",0.61100569259962,0.799605012865228,0.0662842187012672,0.343166514668917,0.879237428411287,15
"6","ABDULRAHMAN_KIDNEY_CANCER_VHL_DN",0.776493256262042,0.926963840553801,0.0555947097758869,0.311995086874724,0.757089712498699,12
"7","ABE_INNER_EAR",0.118829981718464,0.242202693761149,0.173747838999571,0.403081823501697,1.30427209775412,39
"8","ABE_VEGFA_TARGETS",0.104364326375712,0.220987096308433,0.190023305279108,0.551748069646087,1.41365061318571,15
"9","ABE_VEGFA_TARGETS_2HR",0.894736842105263,0.998027504040052,0.0463227785794633,0.239412162433818,0.724418983577776,29
"10","ABE_VEGFA_TARGETS_30MIN",0.972577696526508,1,0.042845050912155,0.198176048399019,0.575255189005053,24
"11","ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN",0.324427480916031,0.513636415524183,0.100990587455923,0.396946432152171,1.08907725636433,20
"12","ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP",0.000366258835035311,0.00218019616582063,0.49849310876659,0.644227243929322,1.89329321267022,26
"13","ABRAMSON_INTERACT_WITH_AIRE",0.426785714285714,0.623233286418015,0.0815265143256594,0.309007518456583,1.01079265601077,40
"14","ACEVEDO_LIVER_CANCER_DN",2.02926855111112e-07,3.10721265129845e-06,0.690132458796796,0.362074976324511,1.67821399209436,485
"15","ACEVEDO_LIVER_CANCER_UP",3.54730465545622e-10,9.72060635085068e-09,0.814035837847908,0.341062009076548,1.64579018236132,896
"16","ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN",0.0456852791878173,0.120280948770151,0.276500599254472,0.321407456318913,1.29683219593202,145
"17","ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP",1.21750302394805e-11,4.23611028660985e-10,0.875325132024659,0.508522010352863,2.17327586173983,211
"18","ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN",0.000309119798996896,0.00187931651383592,0.49849310876659,0.483696803956882,1.78004153420934,80
"19","ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP",0.000688453005014328,0.0036918416933149,0.477270815362862,0.429754704118352,1.66554111582652,104
"20","ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN",4.81114518294728e-09,1.04868814561242e-07,0.761460801445585,0.456887137212044,1.97952244899749,241
"21","ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP",0.00983017894762175,0.0328307598832018,0.380730400722792,0.259168527738192,1.23803181533889,784
"22","ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN",4.11379300388784e-05,0.000335394058875828,0.557332238758646,0.311054813764254,1.47279598579033,632
"23","ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN",0.782071097372488,0.931521842273788,0.0451344222209097,0.198392013241174,0.889700627758997,324
"24","ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP",6.89381443197046e-05,0.000524000602618801,0.538434096309916,0.423099364116049,1.72511184901059,154
"25","ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN",1.27392159669203e-05,0.000124881388268315,0.593325476396405,0.484750704093858,1.89414615767643,110
"26","ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP",0.989455184534271,1,0.0402477565068868,0.171731470044819,0.63198505119305,80
"27","ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN",0.00114600466879254,0.00570768857555211,0.45505986738723,0.476345518936186,1.72341055790623,70
"28","AFFAR_YY1_TARGETS_DN",3.93229805965761e-05,0.000323443517426443,0.557332238758646,0.379321567491792,1.64345961416382,241
"29","AFFAR_YY1_TARGETS_UP",1.43459811731542e-06,1.80200112668214e-05,0.643551836150722,0.44696193217095,1.85803207570077,180
"30","AGARWAL_AKT_PATHWAY_TARGETS",0.0115129832657874,0.0375044918605497,0.380730400722792,0.70617066616183,1.66188650014132,11
"31","AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN",0.958199356913183,1,0.0376142599562161,0.182523917925148,0.783450534779716,219
"32","AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP",0.990683229813665,1,0.0344174840212229,0.169293750281308,0.746068383022008,275
"33","AIGNER_ZEB1_TARGETS",0.00112721932119762,0.00564066332842375,0.45505986738723,0.587130849636911,1.82829072713316,33
"34","AIYAR_COBRA1_TARGETS_DN",0.948545861297539,1,0.0532386494755899,-0.215524874513869,-0.668306111243899,28
"35","AIYAR_COBRA1_TARGETS_UP",0.00369676315310793,0.0150201270436858,0.431707695803346,0.546866191640262,1.72797112533525,35
"36","AKL_HTLV1_INFECTION_DN",0.00227586081172743,0.0100935993271765,0.431707695803346,0.464722265822453,1.64746480758175,62
"37","AKL_HTLV1_INFECTION_UP",0.698706099815157,0.870563366800627,0.0585937568945671,0.292550614190724,0.853883811877799,25
"38","ALCALAY_AML_BY_NPM1_LOCALIZATION_DN",0.000715305825501421,0.00382477018238891,0.477270815362862,0.372425837051754,1.54629098883709,177
"39","ALCALAY_AML_BY_NPM1_LOCALIZATION_UP",1.34804549246554e-15,8.25650011955546e-14,1.01754479730988,0.646613176036249,2.55068881891334,119
"40","ALCALA_APOPTOSIS",0.222996515679443,0.388988691372155,0.119348440591015,0.310724619925798,1.15315377403685,82
"41","ALFANO_MYC_TARGETS",2.7772543014613e-05,0.000239328274745694,0.575610261071129,0.39455425563165,1.69801910237198,227
"42","ALONSO_METASTASIS_DN",0.32967032967033,0.51916421869673,0.09754492162472,0.381645099102052,1.09664927283526,23
"43","ALONSO_METASTASIS_EMT_DN",0.486868686868687,0.685966509198448,0.0810802057550866,-0.557633519151232,-1.01821416048358,4
"44","ALONSO_METASTASIS_EMT_UP",0.012360972984733,0.0395711320906506,0.380730400722792,0.514499051639962,1.59353979652988,32
"45","ALONSO_METASTASIS_NEURAL_UP",0.366852886405959,0.559297827845004,0.0922597260527354,0.41070525399854,1.07078615856927,16
"46","ALONSO_METASTASIS_UP",0.00469849631171095,0.0181830580501775,0.407017918923954,0.352172705594409,1.4639908593613,180
"47","ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION",2.71368891122988e-25,6.28562662356456e-23,1.30309315086572,0.740197760547551,2.92489879719989,118
"48","AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53",0.0180296467469802,0.0536401894989444,0.352487857583619,0.381876821513974,1.46331305154154,96
"49","AMIT_DELAYED_EARLY_GENES",0.000129257887840905,0.000898001995233814,0.518848077743792,0.758300710221165,2.0569499719602,18
"50","AMIT_EGF_RESPONSE_120_HELA",8.3072710798856e-05,0.000614056896221792,0.538434096309916,0.542920589271017,1.92896117987379,63
"51","AMIT_EGF_RESPONSE_120_MCF10A",0.00324109990706924,0.0135170463766405,0.431707695803346,0.510320872283424,1.66930757053918,40
"52","AMIT_EGF_RESPONSE_20_HELA",0.109826589595376,0.229339209774959,0.186432558434075,0.574055183495986,1.39300678797508,12
"53","AMIT_EGF_RESPONSE_20_MCF10A",0.336575875486381,0.526852721815264,0.0999276973731092,0.476602019729593,1.12162470133981,11
"54","AMIT_EGF_RESPONSE_240_HELA",0.000398482825185912,0.00234563639194027,0.49849310876659,0.528581722499989,1.83101405359402,56
"55","AMIT_EGF_RESPONSE_240_MCF10A",0.766037735849057,0.919202746880896,0.0552495663125249,0.286088385474342,0.797284237886771,21
"56","AMIT_EGF_RESPONSE_40_HELA",0.0130461624102123,0.0413891736395906,0.380730400722792,0.461624192632812,1.52672188228095,42
"57","AMIT_EGF_RESPONSE_40_MCF10A",0.238361266294227,0.408721736350421,0.119348440591015,0.46611293393887,1.21524444387465,16
"58","AMIT_EGF_RESPONSE_480_HELA",0.00167097699963149,0.00781793594966475,0.45505986738723,0.378711384297156,1.5462008864783,155
"59","AMIT_EGF_RESPONSE_480_MCF10A",0.398576512455516,0.593142677471452,0.0850427463764322,0.306195873448602,1.01267643186533,42
"60","AMIT_EGF_RESPONSE_60_HELA",0.00380100090536821,0.0153510723213536,0.431707695803346,0.50552489260394,1.69465750920221,44
"61","AMIT_EGF_RESPONSE_60_MCF10A",0.000347080969270976,0.00208614522568305,0.49849310876659,0.604784821871925,1.92742382218336,36
"62","AMIT_SERUM_RESPONSE_120_MCF10A",1.36218967664291e-06,1.71979347420794e-05,0.643551836150722,0.597338093735285,2.13441780524822,65
"63","AMIT_SERUM_RESPONSE_20_MCF10A",0.892177589852008,0.996372531403441,0.053457214108991,-0.258481258130628,-0.673824931947892,14
"64","AMIT_SERUM_RESPONSE_240_MCF10A",0.0575539568345324,0.143468676118641,0.252961123069611,0.41074002837639,1.40102642607853,52
"65","AMIT_SERUM_RESPONSE_40_MCF10A",1.51336121118097e-05,0.00014250978317741,0.593325476396405,0.684524529570874,2.09653280648139,30
"66","AMIT_SERUM_RESPONSE_480_MCF10A",0.00318216411692181,0.0133363762258197,0.431707695803346,0.553611515582252,1.70635308305416,31
"67","AMIT_SERUM_RESPONSE_60_MCF10A",0.0179908189029402,0.0535461682287911,0.352487857583619,0.443685055470429,1.52799973818652,55
"68","AMUNDSON_DNA_DAMAGE_RESPONSE_TP53",0.00925157988430601,0.0312816187895975,0.380730400722792,0.633236412602258,1.62243439028414,15
"69","AMUNDSON_RESPONSE_TO_ARSENITE",3.63174910634261e-07,5.23636043328893e-06,0.674962860011025,0.454062314636704,1.92994447314036,203
"70","ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE",4.82120689754897e-06,5.34879705355321e-05,0.610526878385931,0.587182705933636,2.06298528054722,60
"71","ANDERSEN_CHOLANGIOCARCINOMA_CLASS1",0.113924050632911,0.235439543985647,0.176694268938498,0.374367597994633,1.28927847505434,55
"72","ANDERSEN_CHOLANGIOCARCINOMA_CLASS2",4.15322441159298e-06,4.64246547727233e-05,0.610526878385931,0.452976088098444,1.84940843611325,155
"73","ANDERSEN_LIVER_CANCER_KRT19_DN",0.00368431839480805,0.0149859954028114,0.431707695803346,0.446489240614845,1.59772294825627,68
"74","ANDERSEN_LIVER_CANCER_KRT19_UP",0.422586520947177,0.618808280327905,0.083129129135339,0.320227175739053,0.997168478443628,33
"75","APPEL_IMATINIB_RESPONSE",6.37277775930169e-05,0.000492699418611824,0.538434096309916,0.662619080107006,2.05230674522107,32
"76","APPIERTO_RESPONSE_TO_FENRETINIDE_DN",0.013877133403141,0.0436331928937963,0.380730400722792,0.453440054577888,1.52353282346516,45
"77","APPIERTO_RESPONSE_TO_FENRETINIDE_UP",0.0695970695970696,0.163949104508545,0.231126709673834,0.448001085171076,1.41558017505627,35
"78","APRELIKOVA_BRCA1_TARGETS",0.208771929824561,0.372138443567015,0.124434168630393,0.350422731721105,1.17471270434862,44
"79","ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN",0.721818181818182,0.88794406401412,0.0562940749700968,0.262856810883984,0.847900097931007,37
"80","ASTIER_INTEGRIN_SIGNALING",0.985374771480804,1,0.0422468188360053,0.180823755211439,0.61977948951109,54
"81","ASTON_MAJOR_DEPRESSIVE_DISORDER_DN",0.00379100698281689,0.0153190582059193,0.431707695803346,-0.332793874076123,-1.44071738243452,155
"82","ASTON_MAJOR_DEPRESSIVE_DISORDER_UP",0.834532374100719,0.963201903825017,0.0490939668192139,0.239072762638031,0.791635911565709,43
"83","AUJLA_IL22_AND_IL17A_SIGNALING",0.00260415262472515,0.0112401718706104,0.431707695803346,0.791413732667234,1.7698728780408,9
"84","AUNG_GASTRIC_CANCER",0.000673855710922878,0.00364977232579347,0.477270815362862,0.538143629220933,1.82149736769392,47
"85","AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN",0.0878504672897196,0.194671369870724,0.206587922696891,0.532821588823922,1.40907816296715,17
"86","AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP",7.2632835960444e-05,0.000547590994204324,0.538434096309916,0.455517888733754,1.79837880955762,121
"87","AZARE_STAT3_TARGETS",0.0457038391224863,0.120280948770151,0.287857117255149,0.521620890646906,1.51413415729181,24
"88","BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_DN",0.721631205673759,0.88794406401412,0.0551351763385257,0.251072883523962,0.851019645146648,48
"89","BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP",0.000145394454914592,0.000994020576911475,0.518848077743792,0.715889777480016,2.03210340491516,22
"90","BAELDE_DIABETIC_NEPHROPATHY_DN",8.43724502267344e-14,4.05589251784353e-12,0.954541630725724,0.446404331049495,2.05192445618678,422
"91","BAELDE_DIABETIC_NEPHROPATHY_UP",0.000524533635035029,0.00294940726042838,0.477270815362862,0.478208715078245,1.75825200358342,78
"92","BAE_BRCA1_TARGETS_DN",0.0173555986579459,0.0520949135901326,0.352487857583619,0.516955592508528,1.58330974620821,30
"93","BAE_BRCA1_TARGETS_UP",0.0070983412421721,0.0252185076441694,0.407017918923954,0.436515076899404,1.54941088881128,64
"94","BAFNA_MUC4_TARGETS_UP",0.56140350877193,0.756190731281129,0.0718276293603809,0.492762243569303,0.947670305421548,5
"95","BAKER_HEMATOPOESIS_STAT1_TARGETS",0.000541569052645266,0.0030245427649993,0.477270815362862,0.816077648331831,1.88272516725872,10
"96","BAKER_HEMATOPOESIS_STAT5_TARGETS",0.21259842519685,0.376611330583152,0.131457611642763,0.604345683409256,1.27268318108667,7
"97","BAKER_HEMATOPOIESIS_STAT3_TARGETS",0.00253497209959013,0.0110230659085623,0.431707695803346,0.681868017989309,1.74703491461349,15
"98","BAKKER_FOXO3_TARGETS_DN",0.0309241924616338,0.0838562716184297,0.352487857583619,0.325119934205337,1.33226587555343,160
"99","BAKKER_FOXO3_TARGETS_UP",0.0021707663257448,0.00972645056837649,0.431707695803346,0.500685050840215,1.70782718729036,52
"100","BALDWIN_PRKCI_TARGETS_UP",0.00205669859265082,0.00927140709862239,0.431707695803346,0.573545482608438,1.77642222807451,32
"101","BALLIF_DEVELOPMENTAL_DISABILITY_P16_P12_DELETION",0.398843930635838,0.593334871321256,0.0894366833718621,0.43648934999586,1.05918846289333,12
"102","BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_DN",0.252268602540835,0.425390940117903,0.11378726182188,0.372585820324856,1.1539969421088,32
"103","BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_UP",0.1364522417154,0.269235240509272,0.166933848713193,0.616870651745863,1.37953461093581,9
"104","BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_DN",0.545901639344262,0.740311257165263,0.0646484568421928,0.238147940391018,0.959706537938967,138
"105","BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_UP",0.378531073446328,0.57134292979852,0.0911073131586733,0.382014585766675,1.04175008344303,19
